video_id,precision,recall,tp,fp,fn
v01,0.8333333333333334,0.8823529411764706,30,6,4
v02,0.7058823529411765,1.0,12,5,0
v03,1.0,0.42424242424242425,14,0,19
v04,0.5,1.0,19,19,0
v05,0.8888888888888888,0.8,40,5,10
v06,0.8076923076923077,0.9545454545454546,21,5,1
v07,1.0,0.5294117647058824,36,0,32
v08,1.0,0.36923076923076925,24,0,41
v09,1.0,0.9565217391304348,22,0,1
v10,0.7727272727272727,1.0,17,5,0
v11,0.47368421052631576,1.0,18,20,0
v12,1.0,0.5405405405405406,20,0,17
v13,0.5227272727272727,1.0,23,21,0
v14,1.0,0.3484848484848485,23,0,43
v15,0.7567567567567568,1.0,28,9,0
v16,0.8235294117647058,0.7368421052631579,28,6,10
v17,0.5,1.0,16,16,0
v18,0.6976744186046512,1.0,30,13,0
v19,0.4375,1.0,14,18,0
v20,0.6153846153846154,1.0,24,15,0
v21,0.35,1.0,14,26,0
v22,0.7391304347826086,0.9714285714285714,34,12,1
v23,1.0,0.6923076923076923,18,0,8
v24,0.8333333333333334,0.18181818181818182,10,2,45
v25,1.0,0.5357142857142857,15,0,13
